,.INX_Open,.INX_High,.INX_Low,.INX_Close,.INX_Volume
2015-06-23,2112.5,2129.87,2112.5,2122.85,468228023
2015-06-24,2123.16,2128.03,2119.89,2124.2,453115170
2015-06-25,2123.33,2125.1,2108.58,2108.58,534019481
2015-06-26,2109.96,2116.04,2101.78,2102.31,494346810
2015-06-27,2102.62,2108.92,2095.38,2101.49,927539503
2015-06-30,2098.63,2098.63,2056.64,2057.64,586955148
2015-07-01,2061.19,2074.28,2056.32,2063.11,717671106
2015-07-02,2067.0,2082.78,2067.0,2077.42,531751257
2015-07-03,2078.03,2085.06,2071.02,2076.78,484440239
2015-07-07,2073.95,2078.61,2058.4,2068.76,586209073
2015-07-08,2069.52,2083.74,2044.02,2081.34,624382379
2015-07-09,2077.66,2077.66,2044.66,2046.68,372276830
2015-07-10,2049.73,2074.28,2049.73,2051.31,553570988
2015-07-11,2052.74,2081.31,2052.74,2076.62,487492213
2015-07-14,2080.03,2100.67,2080.03,2099.6,504047608
2015-07-15,2099.72,2111.98,2098.18,2108.95,501243649
2015-07-16,2109.01,2114.14,2102.49,2107.4,538810633
2015-07-17,2110.55,2124.42,2110.55,2124.29,531489666
2015-07-18,2126.8,2128.91,2119.88,2126.64,626055481
2015-07-21,2126.85,2132.82,2123.65,2128.28,498063871
2015-07-22,2127.55,2128.49,2115.4,2119.21,549092745
2015-07-23,2118.21,2118.51,2110.0,2114.15,604850316
2015-07-24,2114.16,2116.87,2098.63,2102.15,583756482
2015-07-25,2102.24,2106.01,2077.09,2079.65,622862924
2015-07-28,2078.19,2078.19,2063.52,2067.64,658424497
2015-07-30,2094.7,2110.6,2094.08,2108.57,568110723
2015-07-31,2106.78,2110.48,2094.97,2108.63,505302182
2015-08-01,2111.6,2114.24,2102.07,2103.84,639716945
2015-08-04,2104.49,2105.7,2087.31,2098.04,546235777
2015-08-05,2097.68,2102.51,2088.6,2093.32,545885014
2015-08-06,2095.27,2112.66,2095.27,2099.84,580780772
2015-08-07,2100.75,2103.32,2075.53,2083.56,611690579
2015-08-08,2082.61,2082.61,2067.91,2077.57,529686686
2015-08-11,2080.98,2105.35,2080.98,2104.18,536952747
2015-08-12,2102.66,2102.66,2076.49,2084.07,562080936
2015-08-13,2081.1,2089.06,2052.09,2086.05,632320464
2015-08-14,2086.19,2092.93,2078.26,2083.39,502475309
2015-08-15,2083.15,2092.45,2080.61,2091.54,448636523
2015-08-18,2089.7,2102.87,2079.3,2102.44,426042175
2015-08-19,2101.99,2103.47,2094.14,2096.92,444211630
2015-08-20,2095.69,2096.17,2070.53,2079.61,571231726
2015-08-21,2076.61,2076.61,2035.73,2035.73,674558060
2015-08-22,2034.08,2034.08,1970.89,1970.89,1064339747
2015-08-25,1965.15,1965.15,1867.01,1893.21,1333367963
2015-08-26,1898.08,1948.04,1867.08,1867.62,1051227010
2015-08-27,1872.75,1943.09,1872.75,1940.51,1028853758
2015-08-28,1942.77,1989.6,1942.77,1987.66,924187986
2015-08-29,1986.06,1993.48,1975.19,1988.87,723405976
2015-09-01,1986.73,1986.73,1965.98,1972.18,764714895
2015-09-02,1970.09,1970.09,1903.07,1913.85,870101241
2015-09-03,1916.52,1948.91,1916.52,1948.86,732787120
2015-09-04,1950.79,1975.01,1944.72,1951.13,632681962
2015-09-05,1947.76,1947.76,1911.21,1921.22,665449152
2015-09-09,1927.3,1970.42,1927.3,1969.41,683152885
2015-09-10,1971.45,1988.63,1937.88,1942.04,666963761
2015-09-11,1941.59,1965.29,1937.19,1952.29,668611570
2015-09-12,1951.45,1961.05,1939.19,1961.05,588994439
2015-09-15,1963.06,1963.06,1948.27,1953.03,546552646
2015-09-16,1955.1,1983.19,1954.3,1978.09,538189680
2015-09-17,1978.02,1997.26,1977.93,1995.31,592016371
2015-09-18,1995.33,2020.86,1986.73,1990.2,704645073
2015-09-19,1989.66,1989.66,1953.45,1958.08,1857431494
2015-09-22,1960.84,1979.64,1955.8,1966.97,570771913
2015-09-23,1961.39,1961.39,1929.22,1942.74,692573930
2015-09-24,1943.24,1949.52,1932.57,1938.76,505038279
2015-09-25,1934.81,1937.17,1908.92,1932.24,715083399
2015-09-26,1935.93,1952.89,1921.5,1931.34,691076672
2015-09-29,1929.18,1929.18,1879.21,1881.77,776030177
2015-09-30,1881.9,1899.48,1871.91,1884.09,735878664
2015-10-01,1887.14,1920.53,1887.14,1920.03,848493582
2015-10-02,1919.65,1927.21,1900.7,1923.82,676289177
2015-10-03,1921.77,1951.36,1893.7,1951.36,763213423
2015-10-06,1954.33,1989.17,1954.33,1987.05,725872947
2015-10-07,1986.63,1991.62,1971.99,1979.92,679775510
2015-10-08,1982.34,1999.31,1976.44,1995.83,735386749
2015-10-09,1994.01,2016.5,1987.53,2013.43,604478359
2015-10-10,2013.73,2020.13,2007.61,2014.89,623413655
2015-10-13,2015.65,2018.66,2010.55,2017.46,464133172
2015-10-14,2015.0,2022.34,2001.78,2003.69,566735134
2015-10-15,2003.66,2009.56,1990.73,1994.24,629580360
2015-10-16,1996.47,2024.15,1996.47,2023.86,670990277
2015-10-17,2024.37,2033.54,2020.46,2033.11,711438827
2015-10-20,2031.73,2034.45,2022.31,2033.66,600476924
2015-10-21,2033.13,2039.12,2026.61,2030.77,563655848
2015-10-22,2033.47,2037.97,2017.22,2018.94,610039020
2015-10-23,2021.88,2055.2,2021.88,2052.51,786028633
2015-10-24,2058.19,2079.74,2058.19,2075.15,745274175
2015-10-27,2075.08,2075.14,2066.53,2071.18,602320842
2015-10-28,2068.75,2070.37,2058.84,2065.89,648798726
2015-10-29,2066.48,2090.35,2063.11,2090.35,660701160
2015-10-30,2088.35,2092.52,2082.63,2089.41,549004658
2015-10-31,2090.0,2094.32,2079.34,2079.36,789030686
2015-11-03,2080.76,2106.2,2080.76,2104.05,579595250
2015-11-04,2102.63,2116.48,2097.51,2109.79,587935660
2015-11-05,2110.6,2114.59,2096.98,2102.31,614436669
2015-11-06,2101.68,2108.78,2090.41,2099.93,589540851
